Geographic_Level,Geographic_Name,Demographic_Level,Demographic_Name,Indicator_Label,Indicator_Category_Label,Month_Week,Week_Ending,ND_Weekly_Estimate,CI_Half_width_95pct,n_unweighted,Suppression_Flag,Current_Season_Week_Ending,Influenza_Season,Legend,95 CI (%),Indicator_Category_Label_Sort,Demographic_Level_Sort,Demographic_Name_Sort,Geographic_Sort,Season_Sort,Legend_Sort
State,Arizona,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,January Week 4,,30.8,7.8784,159,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Arizona, Overall (18+ years)",22.9 - 38.7,4,1,1,14,3,3140101
State,Arizona,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,January Week 4,,6.8,4.1669,159,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Arizona, Overall (18+ years)",2.6 - 11.0,2,1,1,14,3,3140101
State,Arizona,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,January Week 4,,22.3,7.6134,159,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Arizona, Overall (18+ years)",14.7 - 29.9,3,1,1,14,3,3140101
State,Arizona,Overall,18+ years,4-level vaccination and intent,Received a vaccination,January Week 4,,40.1,1.8745,8592,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Arizona, Overall (18+ years)",38.2 - 41.9,1,1,1,14,3,3140101
State,Arizona,Overall,18+ years,Up-to-date,Yes,January Week 4,,40.1,1.8745,8592,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Arizona, Overall (18+ years)",38.2 - 41.9,,1,1,14,3,3140101
State,Arkansas,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,January Week 4,,43.2,10.8311,88,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Arkansas, Overall (18+ years)",32.3 - 54.0,4,1,1,15,3,3150101
State,Arkansas,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,January Week 4,,2.8,2.1086,88,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Arkansas, Overall (18+ years)",0.7 - 4.9,2,1,1,15,3,3150101
State,Arkansas,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,January Week 4,,12.7,6.5999,88,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Arkansas, Overall (18+ years)",6.1 - 19.3,3,1,1,15,3,3150101
State,Arkansas,Overall,18+ years,4-level vaccination and intent,Received a vaccination,January Week 4,,41.3,2.0799,6028,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Arkansas, Overall (18+ years)",39.2 - 43.4,1,1,1,15,3,3150101
State,Arkansas,Overall,18+ years,Up-to-date,Yes,January Week 4,,41.3,2.0799,6028,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Arkansas, Overall (18+ years)",39.2 - 43.4,,1,1,15,3,3150101
