Geography_Name,Geography_Level,Demographic_Level,Demographic_Name,Indicator_Label,Indicator Category Label,Influenza_Season,Month_Week,Week_Ending,Current_Season_Week_Ending_Label,Point_Estimate,CI_HalfWidth,n_unweighted,n_weighted,Suppression_Flag,Legend_Label,95 CI (%),Indicator_Category_Label_Sort,Demographic_Level_Sort_Order,Demographic_Name_Sort_Order,geography_name_order,geography_level_sort_order,Season_Sort,Legend_Sort
National,National,Age,6 months-4 years,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.431,1.6481,38385,16760547,0,"2023-2024, National. Age: 6 months-4 years",41.5 - 44.8,1,2,3,1,1,1,1010203
National,National,Age,6 months-4 years,Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.431,1.6481,38385,16760547,0,"2023-2024, National. Age: 6 months-4 years",41.5 - 44.8,,2,3,1,1,1,1010203
National,National,Age,6-23 months,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.468,3.4522,14535,5537244,0,"2023-2024, National. Age: 6-23 months",43.3 - 50.2,1,2,4,1,1,1,1010204
National,National,Age,6-23 months,Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.468,3.4522,14535,5537244,0,"2023-2024, National. Age: 6-23 months",43.3 - 50.2,,2,4,1,1,1,1010204
National,National,Mother's Education,>= College degree,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.472,1.4844,56635,33079846,0,"2023-2024, National. Mother's Education: >= College degree",45.8 - 48.7,1,3,13,1,1,1,1010313
National,National,Mother's Education,>= College degree,Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.472,1.4844,56635,33079846,0,"2023-2024, National. Mother's Education: >= College degree",45.8 - 48.7,,3,13,1,1,1,1010313
National,National,Mother's Education,High school or equivalent,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.298,1.7388,19098,10844468,0,"2023-2024, National. Mother's Education: High school or equivalent",28.0 - 31.5,1,3,11,1,1,1,1010311
National,National,Mother's Education,High school or equivalent,Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.298,1.7388,19098,10844468,0,"2023-2024, National. Mother's Education: High school or equivalent",28.0 - 31.5,,3,11,1,1,1,1010311
National,National,Mother's Education,Less than high school,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.343,3.051,7038,5877765,0,"2023-2024, National. Mother's Education: Less than high school",31.3 - 37.4,1,3,10,1,1,1,1010310
National,National,Overall,Overall,Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.387,0.8965,114521,70507625,0,"2023-2024, National. Overall (6 months-17 years)",37.8 - 39.6,,1,1,1,1,1,1010101
National,National,Poverty Status,"Above Poverty, Income < $75k",4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.315,1.6327,26084,16990389,0,"2023-2024, National. Poverty Status: Above Poverty, Income < $75k",29.8 - 33.1,1,4,15,1,1,1,1010415
National,National,Poverty Status,"Above Poverty, Income < $75k",Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.315,1.6327,26084,16990389,0,"2023-2024, National. Poverty Status: Above Poverty, Income < $75k",29.8 - 33.1,,4,15,1,1,1,1010415
National,National,Poverty Status,"Above Poverty, Income >= $75k",4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.442,1.3817,59541,34056618,0,"2023-2024, National. Poverty Status: Above Poverty, Income >= $75k",42.8 - 45.6,1,4,14,1,1,1,1010414
National,National,Poverty Status,"Above Poverty, Income >= $75k",Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.442,1.3817,59541,34056618,0,"2023-2024, National. Poverty Status: Above Poverty, Income >= $75k",42.8 - 45.6,,4,14,1,1,1,1010414
National,National,Poverty Status,Below Poverty,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.334,2.1097,14596,10169736,0,"2023-2024, National. Poverty Status: Below Poverty",31.3 - 35.5,1,4,16,1,1,1,1010416
National,National,Poverty Status,Below Poverty,Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.334,2.1097,14596,10169736,0,"2023-2024, National. Poverty Status: Below Poverty",31.3 - 35.5,,4,16,1,1,1,1010416
National,National,Poverty Status,Poverty Status Unknown,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.342,1.9758,14300,9290883,0,"2023-2024, National. Poverty Status: Poverty Status Unknown",32.2 - 36.2,1,4,17,1,1,1,1010417
National,National,Poverty Status,Poverty Status Unknown,Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.342,1.9758,14300,9290883,0,"2023-2024, National. Poverty Status: Poverty Status Unknown",32.2 - 36.2,,4,17,1,1,1,1010417
National,National,Race/Ethnicity,"Black, Non-Hispanic",4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.317,1.7221,11086,9799285,0,"2023-2024, National. Race/Ethnicity: Black, Non-Hispanic",29.9 - 33.4,1,5,18,1,1,1,1010518
National,National,Race/Ethnicity,"Black, Non-Hispanic",Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.317,1.7221,11086,9799285,0,"2023-2024, National. Race/Ethnicity: Black, Non-Hispanic",29.9 - 33.4,,5,18,1,1,1,1010518
National,National,Race/Ethnicity,"White, Non-Hispanic",4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.397,1.3158,61985,34428570,0,"2023-2024, National. Race/Ethnicity: White, Non-Hispanic",38.3 - 41.0,1,5,20,1,1,1,1010520
National,National,Race/Ethnicity,"White, Non-Hispanic",Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.397,1.3158,61985,34428570,0,"2023-2024, National. Race/Ethnicity: White, Non-Hispanic",38.3 - 41.0,,5,20,1,1,1,1010520
